Timestamp,Pref,Anomaly,Latency
0.0,400000.0,0,
0.5,400000.0,0,
1.0,400000.0,0,
1.5,400000.0,0,
2.0,400000.0,0,
2.5,400000.0,0,
3.0,400000.0,0,
3.5,400000.0,0,
4.0,400000.0,0,
4.5,400000.0,0,
5.0,400000.0,0,
5.5,400000.0,0,
6.0,400000.0,0,
6.5,400000.0,0,
7.0,400000.0,0,
7.5,400000.0,0,
8.0,400000.0,0,
8.5,400000.0,0,
9.0,400000.0,0,
9.5,400000.0,0,
10.0,400000.0,0,
10.5,400000.0,0,
11.0,400000.0,0,
11.5,400000.0,0,
12.0,400000.0,0,
12.5,400000.0,0,
13.0,400000.0,0,
13.5,400000.0,0,
14.0,400000.0,0,
14.5,400000.0,0,
15.0,400000.0,0,
15.5,400000.0,0,
16.0,400000.0,0,
16.5,400000.0,0,
17.0,400000.0,0,
17.5,400000.0,0,
18.0,400000.0,0,
18.5,400000.0,0,
19.0,400000.0,0,
19.5,400000.0,0,
20.0,400000.0,0,
20.5,400000.0,0,
21.0,400000.0,0,
21.5,400000.0,0,
22.0,400000.0,0,
22.5,400000.0,0,
23.0,400000.0,0,
23.5,400000.0,0,
24.0,400000.0,0,
24.5,400000.0,0,
25.0,400000.0,0,
25.5,400000.0,0,
26.0,400000.0,0,
26.5,400000.0,0,
27.0,400000.0,0,
27.5,400000.0,0,
28.0,400000.0,0,
28.5,400000.0,0,
29.0,400000.0,0,
29.5,400000.0,0,
30.0,400000.0,0,
30.5,400000.0,0,
31.0,400000.0,0,
31.5,400000.0,0,
32.0,400000.0,0,
32.5,400000.0,0,
33.0,400000.0,0,
33.5,400000.0,0,
34.0,400000.0,0,
34.5,400000.0,0,
35.0,400000.0,0,
35.5,400000.0,0,
36.0,400000.0,0,
36.5,400000.0,0,
37.0,400000.0,0,
37.5,400000.0,0,
38.0,400000.0,0,
38.5,400000.0,0,
39.0,400000.0,0,
39.5,400000.0,0,
40.0,400000.0,0,
40.5,400000.0,0,
41.0,400000.0,0,
41.5,400000.0,0,
42.0,400000.0,0,
42.5,400000.0,0,
43.0,400000.0,0,
43.5,400000.0,0,
44.0,400000.0,0,
44.5,400000.0,0,
45.0,400000.0,0,
45.5,400000.0,0,
46.0,400000.0,0,
46.5,400000.0,0,
47.0,400000.0,0,
47.5,400000.0,0,
48.0,400000.0,0,
48.5,400000.0,0,
49.0,400000.0,0,
49.5,400000.0,0,
50.0,400000.0,0,
50.5,400000.0,0,
51.0,400000.0,0,
51.5,400000.0,0,
52.0,400000.0,0,
52.5,400000.0,0,
53.0,400000.0,0,
53.5,400000.0,0,
54.0,400000.0,0,
54.5,400000.0,0,
55.0,400000.0,0,
55.5,400000.0,0,
56.0,400000.0,0,
56.5,400000.0,0,
57.0,400000.0,0,
57.5,400000.0,0,
58.0,400000.0,0,
58.5,400000.0,0,
59.0,400000.0,0,
59.5,400000.0,0,
60.0,400000.0,0,
60.5,400000.0,0,
61.0,400000.0,0,
61.5,400000.0,0,
62.0,400000.0,0,
62.5,400000.0,0,
63.0,400000.0,0,
63.5,400000.0,0,
64.0,400000.0,0,
64.5,400000.0,0,
65.0,400000.0,0,
65.5,400000.0,0,
66.0,400000.0,0,
66.5,400000.0,0,
67.0,400000.0,0,
67.5,400000.0,0,
68.0,400000.0,0,
68.5,400000.0,0,
69.0,400000.0,0,
69.5,400000.0,0,
70.0,400000.0,0,
70.5,400000.0,0,
71.0,400000.0,0,
71.5,400000.0,0,
72.0,400000.0,0,
72.5,400000.0,0,
73.0,400000.0,0,
73.5,400000.0,0,
74.0,400000.0,0,
74.5,400000.0,0,
75.0,400000.0,0,
75.5,400000.0,0,
76.0,400000.0,0,
76.5,400000.0,0,
77.0,400000.0,0,
77.5,400000.0,0,
78.0,400000.0,0,
78.5,400000.0,0,
79.0,400000.0,0,
79.5,400000.0,0,
80.0,400000.0,0,
80.5,400000.0,0,
81.0,400000.0,0,
81.5,400000.0,0,
82.0,400000.0,0,
82.5,400000.0,0,
83.0,400000.0,0,
83.5,400000.0,0,
84.0,400000.0,0,
84.5,400000.0,0,
85.0,400000.0,0,
85.5,400000.0,0,
86.0,400000.0,0,
86.5,400000.0,0,
87.0,400000.0,0,
87.5,400000.0,0,
88.0,400000.0,0,
88.5,400000.0,0,
89.0,400000.0,0,
89.5,400000.0,0,
90.0,400000.0,0,
90.5,400000.0,0,
91.0,400000.0,0,
91.5,400000.0,0,
92.0,400000.0,0,
92.5,400000.0,0,
93.0,400000.0,0,
93.5,400000.0,0,
94.0,400000.0,0,
94.5,400000.0,0,
95.0,400000.0,0,
95.5,400000.0,0,
96.0,400000.0,0,
96.5,400000.0,0,
97.0,400000.0,0,
97.5,400000.0,0,
98.0,400000.0,0,
98.5,400000.0,0,
99.0,400000.0,0,
99.5,400000.0,0,
100.0,400000.0,0,
100.5,400000.0,0,
101.0,400000.0,0,
101.5,400000.0,0,
102.0,400000.0,0,
102.5,400000.0,0,
103.0,400000.0,0,
103.5,400000.0,0,
104.0,400000.0,0,
104.5,400000.0,0,
105.0,400000.0,0,
105.5,400000.0,0,
106.0,400000.0,0,
106.5,400000.0,0,
107.0,400000.0,0,
107.5,400000.0,0,
108.0,400000.0,0,
108.5,400000.0,0,
109.0,400000.0,0,
109.5,400000.0,0,
110.0,400000.0,0,
110.5,400000.0,0,
111.0,400000.0,0,
111.5,400000.0,0,
112.0,400000.0,0,
112.5,400000.0,0,
113.0,400000.0,0,
113.5,400000.0,0,
114.0,400000.0,0,
114.5,400000.0,0,
115.0,400000.0,0,
115.5,400000.0,0,
116.0,400000.0,0,
116.5,400000.0,0,
117.0,400000.0,0,
117.5,400000.0,0,
118.0,400000.0,0,
118.5,400000.0,0,
119.0,400000.0,0,
119.5,400000.0,0,
120.0,400000.0,0,
120.5,400000.0,0,
121.0,400000.0,0,
121.5,400000.0,0,
122.0,400000.0,0,
122.5,400000.0,0,
123.0,400000.0,0,
123.5,400000.0,0,
124.0,400000.0,0,
124.5,400000.0,0,
125.0,400000.0,0,
125.5,400000.0,0,
126.0,400000.0,0,
126.5,400000.0,0,
127.0,400000.0,0,
127.5,400000.0,0,
128.0,400000.0,0,
128.5,400000.0,0,
129.0,400000.0,0,
129.5,400000.0,0,
130.0,400000.0,0,
130.5,400000.0,0,
131.0,400000.0,0,
131.5,400000.0,0,
132.0,400000.0,0,
132.5,400000.0,0,
133.0,400000.0,0,
133.5,400000.0,0,
134.0,400000.0,0,
134.5,400000.0,0,
135.0,400000.0,0,
135.5,400000.0,0,
136.0,400000.0,0,
136.5,400000.0,0,
137.0,400000.0,0,
137.5,400000.0,0,
138.0,400000.0,0,
138.5,400000.0,0,
139.0,400000.0,0,
139.5,400000.0,0,
140.0,400000.0,0,
140.5,400000.0,0,
141.0,400000.0,0,
141.5,400000.0,0,
